Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Copacabana;1;0;1;90;3400.0;1000.0;
Apartamento;Copacabana;1;0;0;30;1700.0;600.0;24.0
Apartamento;Leblon;1;0;1;135;10000.0;1900.0;500.0
Apartamento;Flamengo;1;0;0;42;1500.0;517.0;21.0
Quitinete;Ipanema;1;0;0;45;3650.0;600.0;
Apartamento;Copacabana;1;0;0;45;2150.0;550.0;
Casa de Condomínio;Campo Grande;1;1;0;60;780.0;240.0;
Apartamento;Andaraí;1;0;0;30;1300.0;510.0;25.0
Apartamento;Barra da Tijuca;1;1;0;70;2000.0;860.0;205.0
Quitinete;Ipanema;1;0;0;27;1500.0;528.0;
Apartamento;Botafogo;1;1;0;57;2150.0;880.0;86.0
Quitinete;Centro;1;1;1;37;1100.0;370.0;25.0
Apartamento;Engenho Novo;1;0;0;37;600.0;414.0;16.0
Apartamento;Ipanema;1;0;0;37;1800.0;490.0;40.0
Apartamento;Ipanema;1;2;1;64;3770.0;1700.0;230.0
Flat;Barra da Tijuca;1;1;0;60;2400.0;1400.0;300.0
Apartamento;Ipanema;1;0;0;40;2400.0;380.0;80.0
Flat;Curicica;1;1;0;36;1300.0;600.0;14.0
Quitinete;Leblon;1;0;1;32;2000.0;650.0;84.0
Apartamento;Lagoa;1;1;1;85;3000.0;1123.0;387.0
Apartamento;Encantado;1;1;0;44;500.0;346.0;
Flat;Leblon;1;1;0;50;4000.0;2035.0;236.0
Apartamento;Barra da Tijuca;1;1;1;45;910.0;640.0;12.0
Apartamento;Botafogo;1;0;0;45;1500.0;560.0;
Apartamento;Centro;1;1;0;38;1500.0;530.0;
Apartamento;Centro;1;0;0;30;900.0;320.0;
Apartamento;Botafogo;1;0;0;40;1700.0;400.0;24.0
Apartamento;Lagoa;1;1;0;66;2100.0;630.0;226.0
Apartamento;Centro;1;0;0;21;900.0;289.0;20.0
Apartamento;Botafogo;1;0;0;40;1500.0;550.0;57.0
Apartamento;Copacabana;1;1;0;54;2400.0;613.0;131.0
Apartamento;Praça da Bandeira;1;0;0;35;400.0;130.0;
Quitinete;Copacabana;1;0;0;40;2000.0;400.0;24.0
Apartamento;Copacabana;1;0;0;50;1300.0;420.0;24.0
Quitinete;Ipanema;1;0;0;30;1200.0;400.0;29.0
Quitinete;Copacabana;1;0;0;33;1450.0;350.0;56.0
Apartamento;Catete;1;1;0;45;1700.0;725.0;
Apartamento;Rio Comprido;1;0;0;33;800.0;275.0;24.0
Quitinete;Curicica;1;0;0;38;750.0;;
Apartamento;Ricardo de Albuquerque;1;0;0;25;320.0;;
Quitinete;Copacabana;1;0;0;30;1000.0;300.0;30.0
Conjunto Comercial/Sala;Centro;1;0;0;325;10000.0;;10828.0
Apartamento;Barra da Tijuca;1;1;1;72;1800.0;920.0;198.0
Apartamento;Ipanema;1;1;1;110;9000.0;2900.0;670.0
Apartamento;Botafogo;1;1;0;73;2500.0;650.0;122.0
Apartamento;Botafogo;1;0;0;30;1400.0;481.0;26.0
Flat;Botafogo;1;1;0;39;2600.0;777.0;145.0
Quitinete;Copacabana;1;0;0;26;1400.0;655.0;54.0
Apartamento;Praça Seca;1;1;1;70;600.0;481.0;17.0
Apartamento;Botafogo;1;0;0;31;1400.0;431.0;29.0
Apartamento;São Cristóvão;1;0;0;56;850.0;450.0;15.0
Apartamento;Copacabana;1;0;0;42;1800.0;1697.0;37.0
Apartamento;Flamengo;1;0;0;38;1850.0;467.0;29.0
Apartamento;Barra da Tijuca;1;1;1;60;1500.0;960.0;142.0
Apartamento;Botafogo;1;0;0;70;1800.0;650.0;70.0
Casa;Oswaldo Cruz;1;0;0;40;900.0;;
Quitinete;Copacabana;1;0;0;30;1200.0;320.0;54.0
Apartamento;Tijuca;1;1;0;68;1600.0;447.0;64.0
Apartamento;Copacabana;1;0;0;38;1500.0;365.0;74.0
Apartamento;Botafogo;1;1;0;50;2600.0;660.0;107.0
Apartamento;Leblon;1;0;0;19;1450.0;502.0;
Apartamento;Campo Grande;1;0;0;70;1000.0;;
Apartamento;Lapa;1;0;0;99;1800.0;650.0;48.0
Apartamento;Copacabana;1;0;0;57;2000.0;620.0;79.0
Apartamento;Copacabana;1;0;0;41;1200.0;430.0;
Apartamento;Ipanema;1;1;0;51;2800.0;635.0;100.0
Quitinete;Gávea;1;0;1;50;1800.0;;
Apartamento;Barra da Tijuca;1;1;0;55;2100.0;1200.0;
Apartamento;Lagoa;1;1;0;46;2500.0;953.0;
Apartamento;Barra da Tijuca;1;1;0;50;1600.0;950.0;100.0
Quitinete;Catete;1;0;0;31;1300.0;370.0;56.0
Apartamento;Ipanema;1;0;0;36;2100.0;580.0;25.0
Flat;Copacabana;1;1;0;43;5000.0;2117.0;100.0
Flat;Ipanema;1;1;0;45;6500.0;;
Apartamento;Centro;1;0;0;38;900.0;223.0;15.0
Apartamento;Barra da Tijuca;1;2;0;68;1800.0;850.0;207.0
Quitinete;Laranjeiras;1;0;0;26;700.0;450.0;
Apartamento;Jardim Guanabara;1;1;1;50;1300.0;250.0;
Apartamento;Catete;1;0;0;31;1200.0;370.0;
Apartamento;Méier;1;0;0;47;700.0;435.0;162.0
Quitinete;Copacabana;1;0;0;40;4000.0;460.0;230.0
Quitinete;Copacabana;1;0;0;35;2500.0;550.0;
Apartamento;Ipanema;1;0;0;50;3800.0;450.0;30.0
Apartamento;Botafogo;1;0;0;42;2200.0;400.0;58.0
Apartamento;Barra da Tijuca;1;1;0;52;3500.0;2715.0;
Apartamento;Engenho Novo;1;1;1;51;850.0;509.0;17.0
Casa;Realengo;1;0;0;40;800.0;;
